DATE,gdp,gdp_percentage,year,month
1998-01-01,8866.48,4.9,1998,1
1998-04-01,8969.699,4.1,1998,4
1998-07-01,9121.097,4.1,1998,7
1998-10-01,9293.991,4.9,1998,10
1999-01-01,9417.264,4.8,1999,1
1999-04-01,9524.152,4.7,1999,4
1999-07-01,9681.856,4.7,1999,7
1999-10-01,9899.378,4.8,1999,10
2000-01-01,10002.857,4.2,2000,1
2000-04-01,10247.679,5.3,2000,4
2000-07-01,10319.825,4.1,2000,7
2000-10-01,10439.025,3,2000,10
2001-01-01,10472.879,2.3,2001,1
2001-04-01,10597.822,1.1,2001,4
2001-07-01,10596.294,0.5,2001,7
2001-10-01,10660.294,0.2,2001,10
2002-01-01,10788.952,1.3,2002,1
2002-04-01,10893.207,1.3,2002,4
2002-07-01,10992.051,2.2,2002,7
2002-10-01,11071.463,2.1,2002,10
2003-01-01,11183.507,1.8,2003,1
2003-04-01,11312.875,2,2003,4
2003-07-01,11567.326,3.3,2003,7
2003-10-01,11769.275,4.3,2003,10
2004-01-01,11920.169,4.3,2004,1
2004-04-01,12108.987,4.2,2004,4
2004-07-01,12303.34,3.4,2004,7
2004-10-01,12522.425,3.3,2004,10
2005-01-01,12761.337,3.9,2005,1
2005-04-01,12910.022,3.6,2005,4
2005-07-01,13142.873,3.5,2005,7
2005-10-01,13332.316,3.1,2005,10
2006-01-01,13603.933,3.4,2006,1
2006-04-01,13749.806,3.1,2006,4
2006-07-01,13867.469,2.4,2006,7
2006-10-01,14037.228,2.6,2006,10
2007-01-01,14208.569,1.5,2007,1
2007-04-01,14382.363,1.8,2007,4
2007-07-01,14535.003,2.2,2007,7
2007-10-01,14681.501,2,2007,10
2008-01-01,14651.039,1.1,2008,1
2008-04-01,14805.611,1.1,2008,4
2008-07-01,14835.187,0,2008,7
2008-10-01,14559.543,-2.8,2008,10
2009-01-01,14394.547,-3.3,2009,1
2009-04-01,14352.85,-3.9,2009,4
2009-07-01,14420.312,-3,2009,7
2009-10-01,14628.021,0.2,2009,10
2010-01-01,14721.35,1.7,2010,1
2010-04-01,14926.098,2.8,2010,4
2010-07-01,15079.917,3.2,2010,7
2010-10-01,15240.843,2.6,2010,10
2011-01-01,15285.828,1.9,2011,1
2011-04-01,15496.189,1.7,2011,4
2011-07-01,15591.85,0.9,2011,7
2011-10-01,15796.46,1.6,2011,10
2012-01-01,16019.758,2.7,2012,1
2012-04-01,16152.257,2.4,2012,4
2012-07-01,16257.151,2.5,2012,7
2012-10-01,16358.863,1.5,2012,10
2013-01-01,16569.591,1.6,2013,1
2013-04-01,16637.926,1.3,2013,4
2013-07-01,16848.748,1.9,2013,7
2013-10-01,17083.137,2.6,2013,10
2014-01-01,17102.932,1.5,2014,1
2014-04-01,17425.766,2.6,2014,4
2014-07-01,17719.836,3,2014,7
2014-10-01,17838.454,2.7,2014,10
2015-01-01,17970.422,3.8,2015,1
2015-04-01,18221.299,3.4,2015,4
2015-07-01,18331.093,2.4,2015,7
2015-10-01,18354.372,2,2015,10
2016-01-01,18409.13,1.6,2016,1
2016-04-01,18640.732,1.3,2016,4
2016-07-01,18799.648,1.5,2016,7
2016-10-01,18979.245,1.9,2016,10
2017-01-01,19162.55,1.9,2017,1
2017-04-01,19359.123,2.1,2017,4
2017-07-01,19588.074,2.3,2017,7
2017-10-01,19831.829,2.5,2017,10
2018-01-01,20041.047,2.6,2018,1
2018-04-01,20411.924,2.9,2018,4
2018-07-01,20658.204,3,2018,7
2018-10-01,20865.14,3,2018,10
